B1,B2,B3,B4,B5,B6,Sector
-77,-72,-79,-101,-75,-75,4
-75,-80,-80,-64,-85,-76,4
-72,-67,-81,-69,-74,-76,4
-70,-76,-80,-67,-74,-83,4
-76,-67,-82,-62,-73,-76,4
-69,-81,-84,-62,-76,-82,4
-70,-71,-92,-100,-74,-82,4
-72,-98,-86,-67,-82,-71,4
-77,-82,-77,-71,-78,-73,4
-76,-71,-76,-72,-78,-76,4
-82,-80,-77,-100,-80,-74,4
-90,-81,-78,-100,-73,-79,4
-70,-89,-78,-62,-74,-80,4
-64,-77,-78,-100,-90,-79,4
-72,-76,-80,-62,-77,-83,4
-75,-84,-77,-100,-78,-75,4
-72,-73,-77,-62,-82,-80,4
-73,-84,-90,-73,-76,-80,4
-74,-87,-92,-74,-76,-81,4
-78,-80,-90,-80,-74,-77,4
-65,-78,-88,-69,-80,-76,4
-74,-86,-90,-65,-83,-76,4
-77,-78,-90,-72,-76,-78,4
-74,-89,-89,-75,-71,-78,4
-76,-84,-86,-86,-75,-75,4
-67,-73,-86,-80,-75,-76,4
-69,-80,-74,-60,-63,-68,5
-69,-80,-74,-57,-64,-67,5
-63,-70,-86,-96,-64,-66,5
-63,-68,-84,-62,-64,-67,5
-62,-78,-76,-61,-65,-67,5
-68,-78,-76,-97,-64,-68,5
-68,-68,-76,-58,-70,-68,5
-66,-78,-76,-60,-71,-69,5
-64,-69,-74,-62,-70,-69,5
-65,-82,-76,-62,-100,-65,5
-66,-71,-76,-98,-64,-65,5
-62,-71,-76,-62,-63,-66,5
-63,-80,-89,-62,-63,-69,5
-63,-70,-87,-62,-70,-69,5
-64,-82,-82,-98,-69,-69,5
-67,-71,-87,-68,-62,-65,5
-67,-87,-88,-69,-100,-65,5
-64,-87,-87,-69,-62,-66,5
-63,-77,-74,-60,-103,-70,5
-64,-88,-75,-60,-97,-69,5
-63,-77,-75,-60,-62,-69,5
-64,-87,-75,-96,-66,-70,5
-68,-78,-75,-98,-65,-69,5
-68,-79,-76,-60,-65,-69,5
-69,-69,-76,-96,-70,-68,5
-69,-69,-77,-61,-69,-69,5
-66,-78,-77,-99,-65,-70,5
-66,-69,-77,-63,-65,-68,5
-66,-79,-77,-62,-66,-65,5
-66,-76,-76,-98,-71,-65,5
-67,-84,-76,-62,-69,-65,5
-68,-77,-78,-63,-63,-68,5
-68,-77,-77,-101,-100,-67,5
-69,-87,-76,-62,-63,-64,5
-66,-79,-77,-100,-69,-64,5
-66,-88,-76,-62,-64,-64,5
-63,-69,-74,-62,-63,-67,5
-63,-79,-76,-100,-64,-66,5
-63,-69,-76,-62,-64,-64,5
-70,-79,-76,-62,-66,-73,5
-70,-69,-76,-60,-69,-69,5
-69,-79,-77,-60,-68,-64,5
-65,-71,-76,-97,-71,-65,5
-65,-82,-87,-62,-74,-70,5
-63,-72,-84,-62,-67,-72,5
-66,-82,-85,-60,-66,-74,5
-70,-72,-87,-98,-66,-64,5
-70,-83,-91,-61,-99,-65,5
-79,-73,-89,-100,-78,-64,5
-75,-84,-74,-97,-74,-69,5
-73,-88,-76,-96,-77,-69,5
-65,-78,-76,-61,-98,-67,5
-65,-89,-76,-102,-69,-73,5
-66,-80,-76,-70,-70,-75,5
