B1,B2,B3,B4,B5,B6,Sector
-82,-67,-56,-89,-69,-97,6
-82,-88,-62,-78,-67,-60,6
-86,-77,-61,-84,-68,-96,6
-88,-87,-61,-82,-70,-60,6
-85,-76,-62,-77,-74,-96,6
-83,-87,-62,-80,-83,-97,6
-80,-76,-62,-82,-70,-60,6
-82,-82,-63,-82,-72,-72,6
-76,-74,-58,-87,-72,-73,6
-78,-74,-58,-82,-76,-63,6
-97,-66,-59,-84,-90,-64,6
-81,-77,-57,-79,-74,-66,6
-83,-66,-60,-80,-78,-65,6
-80,-77,-65,-78,-79,-66,6
-80,-73,-66,-89,-76,-68,6
-83,-80,-57,-90,-79,-72,6
-81,-67,-56,-76,-71,-67,6
-82,-75,-56,-82,-72,-64,6
-87,-70,-56,-83,-66,-100,6
-83,-67,-57,-81,-66,-63,6
-80,-79,-57,-76,-66,-100,6
-80,-68,-57,-73,-81,-64,6
-80,-80,-57,-87,-74,-98,6
-83,-78,-60,-86,-82,-70,6
-94,-68,-63,-85,-78,-69,6
-90,-76,-70,-82,-80,-60,6
-86,-64,-62,-77,-77,-60,6
-81,-69,-57,-74,-76,-97,6
-82,-75,-65,-75,-74,-60,6
-80,-64,-66,-75,-74,-65,6
-82,-74,-65,-72,-74,-64,6
-84,-77,-58,-76,-77,-65,6
-85,-65,-60,-75,-75,-60,6
-84,-76,-60,-75,-78,-60,6
-80,-66,-61,-73,-74,-98,6
-94,-76,-61,-84,-74,-60,6
-91,-66,-62,-80,-80,-97,6
-89,-77,-57,-84,-80,-98,6
-76,-73,-56,-80,-73,-61,6
-76,-81,-60,-78,-73,-66,6
-76,-68,-61,-78,-73,-66,6
-81,-80,-63,-86,-74,-65,6
-80,-69,-61,-86,-72,-65,6
-76,-80,-61,-78,-72,-63,6
-76,-68,-59,-78,-76,-97,6
-76,-78,-61,-73,-76,-96,6
-76,-72,-56,-73,-71,-97,6
-76,-75,-56,-73,-71,-60,6
-74,-66,-56,-86,-71,-61,6
-81,-71,-58,-85,-76,-97,6
-80,-60,-60,-73,-73,-63,6
-80,-70,-58,-73,-75,-64,6
-81,-57,-58,-73,-74,-60,6
-91,-71,-58,-85,-74,-96,6
-89,-60,-58,-87,-77,-60,6
-88,-80,-57,-78,-72,-98,6
-76,-77,-57,-75,-74,-60,6
-76,-68,-57,-79,-72,-69,6
-76,-80,-57,-78,-74,-72,6
-77,-69,-56,-76,-78,-71,6
-91,-79,-56,-78,-81,-65,6
-92,-68,-67,-79,-77,-67,6
-77,-78,-62,-71,-71,-67,6
-76,-67,-57,-82,-71,-66,6
-76,-73,-58,-90,-68,-67,6
-76,-63,-58,-80,-76,-66,6
-80,-74,-58,-87,-68,-69,6
-80,-72,-58,-90,-78,-68,6
-97,-62,-58,-76,-66,-68,6
-92,-72,-56,-75,-63,-60,6
-95,-62,-57,-74,-73,-98,6
-82,-72,-57,-87,-74,-61,6
-80,-62,-57,-86,-73,-60,6
-98,-72,-56,-74,-76,-98,6
-78,-62,-56,-73,-73,-97,6
-80,-71,-56,-75,-75,-67,6
-80,-62,-56,-78,-76,-65,6
-81,-80,-62,-73,-77,-66,6
-90,-66,-62,-82,-81,-65,6
-77,-77,-60,-83,-79,-97,6
-77,-74,-60,-90,-76,-61,6
-82,-85,-58,-77,-76,-61,6
-95,-71,-58,-76,-75,-65,6
-83,-82,-60,-80,-78,-64,6
-81,-70,-60,-79,-67,-65,6
-79,-80,-57,-78,-67,-69,6
-76,-60,-57,-89,-77,-60,6
-73,-69,-58,-78,-78,-96,6
-76,-60,-58,-84,-87,-60,6
-82,-70,-57,-82,-81,-94,6
-88,-60,-58,-77,-74,-70,6
-82,-70,-61,-80,-69,-60,6
-82,-67,-56,-74,-75,-97,7
-82,-77,-56,-74,-75,-60,7
-80,-68,-56,-74,-74,-97,7
-80,-68,-55,-86,-83,-97,7
-85,-78,-55,-79,-78,-60,7
-84,-68,-56,-93,-80,-98,7
-80,-77,-56,-80,-84,-60,7
-80,-76,-56,-73,-82,-77,7
-87,-86,-64,-71,-71,-71,7
-78,-78,-64,-71,-72,-73,7
-81,-91,-63,-88,-76,-101,7
-83,-72,-63,-86,-75,-62,7
