B1,B2,B3,B4,B5,B6,Sector
-75,-74,-79,-76,-76,-74,7
-74,-88,-82,-86,-79,-77,7
-76,-84,-79,-90,-76,-76,7
-74,-79,-82,-96,-69,-76,7
-73,-83,-79,-75,-76,-75,7
-76,-77,-82,-76,-75,-79,7
-82,-83,-80,-76,-72,-75,7
-85,-78,-78,-71,-73,-76,7
-72,-94,-74,-71,-72,-77,7
-73,-87,-78,-77,-67,-77,7
-76,-92,-75,-73,-69,-81,7
-84,-91,-78,-73,-70,-81,7
-76,-86,-76,-72,-71,-75,7
-74,-93,-80,-75,-72,-75,7
-73,-86,-76,-77,-69,-76,7
-77,-74,-80,-73,-69,-75,7
-78,-82,-82,-73,-69,-76,7
-76,-73,-82,-73,-73,-75,7
-76,-80,-77,-78,-73,-75,7
-77,-74,-81,-76,-69,-76,7
-80,-81,-77,-80,-70,-76,7
-78,-74,-72,-72,-71,-74,7
-78,-82,-77,-73,-72,-75,7
-79,-76,-74,-73,-76,-75,7
-73,-82,-77,-74,-79,-75,7
-76,-82,-74,-74,-71,-69,7
-80,-74,-78,-73,-72,-69,7
-80,-76,-74,-75,-71,-79,7
-80,-93,-76,-75,-76,-76,7
-80,-83,-77,-81,-72,-69,7
-74,-90,-77,-77,-73,-70,7
-74,-85,-81,-82,-71,-69,7
-71,-98,-78,-90,-72,-74,7
-72,-87,-75,-82,-76,-78,7
-79,-94,-82,-87,-77,-78,7
-80,-82,-82,-80,-74,-74,7
-80,-90,-86,-80,-75,-73,7
-72,-92,-84,-80,-79,-81,7
-72,-87,-81,-88,-78,-78,7
-72,-82,-81,-86,-74,-73,7
-72,-74,-90,-81,-73,-73,7
-72,-81,-83,-71,-73,-73,7
-78,-77,-78,-84,-76,-71,7
-78,-82,-75,-87,-76,-76,7
