B1,B2,B3,B4,B5,B6,Sector
-79,-63,-70,-78,-77,-69,4
-78,-72,-72,-75,-68,-67,4
-80,-79,-63,-74,-71,-67,4
-75,-67,-66,-73,-69,-71,4
-80,-60,-69,-76,-76,-68,4
-79,-68,-72,-77,-76,-68,4
-80,-75,-75,-81,-77,-69,4
-82,-63,-62,-82,-76,-68,4
-72,-67,-65,-80,-78,-69,4
-77,-80,-73,-78,-77,-68,4
-71,-65,-77,-77,-75,-96,4
-79,-63,-76,-78,-73,-91,4
-81,-66,-76,-85,-76,-69,4
-79,-60,-66,-86,-82,-69,4
-76,-66,-68,-82,-79,-87,4
-93,-57,-64,-87,-72,-66,4
-85,-65,-66,-84,-73,-68,4
-78,-57,-62,-86,-71,-72,4
-81,-67,-68,-80,-79,-70,4
-82,-59,-78,-82,-80,-72,4
-78,-66,-76,-83,-77,-72,4
-86,-67,-68,-83,-88,-80,4
-78,-76,-71,-77,-78,-68,4
-77,-64,-70,-80,-72,-79,4
-77,-65,-75,-82,-74,-70,4
-76,-72,-72,-88,-74,-67,4
-80,-74,-67,-87,-77,-77,4
-81,-64,-70,-86,-75,-73,4
-84,-75,-70,-89,-74,-69,4
-82,-65,-71,-95,-70,-67,4
-83,-71,-68,-70,-68,-71,4
-81,-64,-70,-78,-66,-72,4
-81,-56,-66,-74,-66,-79,4
-85,-74,-68,-76,-73,-67,4
-85,-60,-72,-81,-76,-60,4
-94,-73,-74,-81,-76,-68,4
-86,-70,-67,-74,-70,-75,4
-88,-58,-67,-74,-69,-63,4
-83,-78,-74,-76,-83,-67,4
-74,-70,-71,-77,-80,-80,4
-80,-73,-67,-72,-76,-87,4
-86,-66,-70,-82,-76,-73,4
-82,-72,-68,-84,-73,-69,4
-84,-80,-71,-83,-85,-67,4
-76,-60,-74,-83,-78,-71,4
-73,-67,-71,-85,-74,-71,4
-81,-61,-65,-81,-75,-78,5
-77,-71,-68,-93,-77,-79,5
-79,-60,-62,-82,-73,-71,5
-80,-70,-66,-84,-76,-71,5
-82,-68,-71,-90,-73,-73,5
-80,-74,-66,-86,-76,-73,5
-82,-64,-64,-84,-72,-68,5
-83,-71,-66,-85,-70,-74,5
-86,-60,-63,-96,-87,-69,5
-76,-69,-66,-97,-70,-76,5
-78,-63,-62,-78,-76,-76,5
-84,-69,-65,-89,-71,-68,5
-82,-70,-61,-85,-81,-68,5
-94,-62,-65,-82,-74,-98,5
-77,-73,-70,-80,-70,-65,5
-87,-70,-68,-83,-74,-98,5
-80,-63,-66,-80,-72,-64,5
-80,-69,-60,-79,-69,-97,5
-76,-58,-56,-81,-74,-65,5
-73,-66,-71,-80,-74,-76,5
-77,-56,-66,-76,-77,-70,5
-78,-64,-63,-80,-73,-66,5
-79,-70,-67,-78,-81,-65,5
-79,-63,-66,-82,-83,-69,5
-77,-66,-70,-82,-77,-70,5
-74,-59,-62,-80,-78,-71,5
-75,-68,-60,-78,-72,-68,5
-75,-62,-56,-82,-69,-68,5
-75,-60,-71,-84,-70,-65,5
-74,-67,-68,-86,-73,-98,5
-75,-57,-60,-86,-75,-97,5
-75,-64,-56,-89,-79,-65,5
-75,-70,-67,-86,-81,-99,5
-74,-63,-63,-85,-72,-65,5
-73,-56,-67,-88,-76,-67,5
-72,-66,-63,-89,-73,-66,5
-76,-58,-60,-92,-73,-66,5
-75,-66,-69,-86,-76,-65,5
-77,-59,-65,-87,-75,-101,5
-80,-68,-65,-89,-74,-65,5
-83,-60,-71,-86,-73,-99,5
-84,-68,-66,-84,-72,-65,5
-83,-73,-68,-84,-72,-76,5
-83,-71,-61,-83,-71,-76,5
-81,-67,-64,-81,-73,-76,5
-78,-74,-64,-76,-73,-67,5
-81,-79,-70,-80,-72,-67,5
-79,-74,-64,-88,-76,-67,5
-80,-64,-65,-91,-79,-68,5
-83,-62,-60,-84,-76,-75,5
-83,-72,-59,-77,-73,-75,5
-85,-65,-62,-87,-73,-74,5
-83,-71,-62,-82,-71,-68,5
-84,-71,-60,-82,-72,-68,5
-79,-62,-62,-82,-69,-68,5
-80,-71,-58,-81,-83,-66,5
-79,-66,-66,-80,-83,-66,5
-86,-59,-62,-79,-72,-65,5
-82,-66,-66,-82,-72,-76,5
-83,-66,-65,-81,-72,-74,5
-85,-60,-68,-78,-69,-76,5
-85,-70,-63,-81,-69,-67,5
-88,-73,-65,-81,-69,-63,5
-87,-80,-62,-81,-72,-96,5
-85,-71,-63,-80,-72,-65,5
-76,-82,-62,-82,-72,-70,5
-75,-69,-61,-96,-68,-70,5
-78,-63,-64,-83,-68,-67,5
-80,-72,-62,-83,-78,-68,5
-82,-64,-68,-82,-78,-67,5
-82,-73,-62,-81,-75,-64,5
-74,-66,-62,-78,-75,-64,5
-79,-71,-68,-90,-74,-98,5
-73,-62,-65,-80,-82,-64,5
-71,-69,-68,-82,-79,-100,5
-76,-63,-64,-83,-80,-102,5
-76,-76,-66,-81,-74,-67,5
-76,-67,-64,-80,-73,-67,5
-76,-63,-67,-78,-75,-67,5
-69,-67,-69,-80,-77,-64,5
-69,-62,-65,-77,-73,-64,5
-69,-67,-69,-76,-76,-69,5
-68,-69,-67,-91,-73,-71,5
-72,-63,-72,-82,-76,-71,5
-72,-69,-66,-81,-72,-71,5
-71,-62,-62,-80,-70,-70,5
-72,-68,-64,-83,-87,-69,5
-69,-60,-62,-80,-78,-69,5
-69,-68,-65,-76,-75,-73,5
-69,-61,-66,-81,-74,-78,5
-72,-66,-68,-93,-73,-79,5
-73,-59,-66,-82,-76,-71,5
-80,-69,-70,-84,-77,-71,5
-80,-60,-66,-90,-81,-73,5
-80,-69,-66,-86,-76,-73,5
-81,-60,-69,-84,-78,-68,5
-74,-67,-66,-85,-74,-74,5
-73,-60,-69,-96,-75,-69,5
-73,-69,-66,-89,-77,-76,5
-73,-61,-69,-85,-74,-73,5
-92,-82,-68,-90,-75,-66,6
-90,-72,-59,-87,-75,-68,6
-79,-80,-65,-80,-77,-77,6
-79,-72,-62,-81,-74,-75,6
-80,-80,-66,-78,-75,-74,6
-83,-73,-62,-78,-67,-70,6
-79,-82,-56,-81,-67,-68,6
-84,-72,-59,-85,-77,-66,6
-85,-80,-56,-85,-67,-66,6
-87,-70,-58,-80,-67,-68,6
-83,-77,-56,-78,-66,-70,6
-82,-72,-59,-82,-100,-73,6
-85,-87,-58,-83,-68,-78,6
-84,-75,-66,-88,-76,-67,6
-81,-74,-63,-85,-77,-68,6
-77,-70,-62,-85,-75,-64,6
-85,-80,-64,-84,-80,-64,6
-76,-74,-61,-78,-77,-67,6
-75,-79,-64,-84,-81,-67,6
-74,-70,-64,-82,-80,-78,6
-76,-73,-60,-84,-82,-67,6
-88,-83,-62,-82,-74,-101,6
-81,-68,-65,-82,-70,-61,6
-84,-76,-59,-84,-76,-97,6
-86,-73,-56,-88,-74,-67,6
-82,-83,-62,-84,-71,-93,6
-73,-80,-58,-83,-98,-104,6
-75,-77,-62,-82,-68,-66,6
-76,-67,-60,-79,-70,-101,6
-77,-75,-62,-88,-69,-66,6
-86,-76,-58,-85,-75,-100,6
-93,-69,-64,-83,-74,-65,6
-76,-71,-62,-83,-69,-101,6
-76,-74,-60,-91,-75,-66,6
-76,-70,-53,-92,-74,-64,6
-76,-77,-56,-83,-74,-99,6
-83,-68,-59,-84,-78,-98,6
-83,-75,-66,-84,-74,-98,6
-84,-69,-60,-82,-77,-64,6
-85,-77,-62,-82,-70,-100,6
-86,-71,-62,-80,-70,-98,6
-95,-69,-62,-83,-75,-64,6
-92,-73,-60,-83,-74,-98,6
-87,-68,-62,-84,-70,-64,6
-87,-76,-59,-78,-71,-98,6
-88,-67,-64,-82,-78,-96,6
-92,-75,-67,-87,-89,-64,6
-86,-66,-66,-87,-84,-96,6
-93,-75,-62,-89,-81,-63,6
-76,-66,-69,-82,-72,-97,6
-80,-73,-70,-85,-72,-95,6
-79,-80,-64,-81,-71,-64,6
-87,-78,-61,-83,-75,-98,6
-87,-72,-63,-82,-81,-63,6
-92,-75,-67,-84,-71,-96,6
-91,-69,-63,-84,-71,-96,6
-76,-83,-59,-84,-74,-67,6
-75,-67,-56,-85,-76,-103,6
-75,-72,-62,-85,-74,-64,6
-75,-66,-63,-94,-70,-98,6
-83,-72,-68,-93,-71,-97,6
-83,-67,-62,-100,-71,-63,6
-84,-72,-64,-84,-73,-98,6
-85,-78,-60,-84,-72,-64,6
-82,-66,-57,-94,-76,-97,6
-94,-74,-61,-91,-76,-67,6
-76,-68,-60,-84,-71,-67,6
-75,-77,-67,-85,-71,-67,6
-76,-64,-68,-84,-71,-64,6
-84,-71,-64,-85,-74,-62,6
-82,-64,-59,-83,-78,-98,6
-82,-73,-56,-88,-80,-63,6
-86,-65,-57,-96,-71,-96,6
-91,-72,-58,-89,-71,-64,6
-74,-66,-62,-85,-70,-101,6
-75,-77,-58,-81,-76,-97,6
-76,-78,-62,-85,-77,-65,6
-83,-73,-59,-85,-78,-103,6
-84,-76,-62,-80,-86,-63,6
-84,-88,-61,-78,-84,-100,6
-91,-78,-63,-82,-83,-96,6
-92,-84,-56,-83,-84,-63,6
-87,-69,-58,-88,-80,-97,6
-84,-78,-57,-85,-77,-63,6
-83,-69,-61,-85,-81,-67,6
-86,-78,-57,-84,-80,-64,6
-86,-71,-60,-78,-82,-62,6
-91,-78,-55,-84,-74,-65,6
-87,-71,-59,-82,-83,-66,6
-82,-77,-56,-82,-85,-66,6
-80,-65,-68,-81,-83,-64,6
-82,-73,-75,-84,-86,-100,6
-88,-66,-66,-84,-88,-64,6
-88,-71,-66,-94,-78,-67,6
-86,-66,-67,-91,-80,-67,6
-83,-67,-72,-84,-84,-100,6
-80,-78,-72,-85,-82,-97,6
-83,-71,-64,-84,-80,-64,6
-79,-78,-61,-85,-74,-96,6
-84,-71,-62,-83,-77,-64,6
-85,-77,-63,-94,-88,-80,7
-94,-70,-56,-95,-76,-95,7
-92,-76,-58,-83,-76,-62,7
-94,-70,-56,-86,-82,-96,7
-90,-77,-58,-83,-78,-62,7
-90,-70,-57,-85,-81,-96,7
-84,-77,-59,-85,-84,-96,7
-82,-69,-56,-81,-83,-67,7
-82,-76,-58,-82,-84,-68,7
-84,-76,-64,-80,-74,-67,7
-99,-84,-62,-82,-74,-68,7
-91,-76,-64,-81,-73,-68,7
-80,-87,-61,-87,-85,-68,7
-80,-92,-65,-81,-82,-62,7
-80,-90,-61,-80,-83,-62,7
-86,-84,-64,-81,-72,-96,7
-86,-89,-60,-80,-73,-98,7
-88,-71,-63,-88,-73,-62,7
-92,-77,-60,-87,-81,-96,7
-91,-67,-62,-87,-82,-68,7
-94,-75,-60,-86,-82,-67,7
-92,-69,-64,-85,-81,-67,7
-82,-76,-60,-84,-83,-62,7
-81,-69,-63,-87,-85,-96,7
-82,-76,-56,-88,-83,-62,7
-82,-70,-60,-92,-86,-96,7
-91,-77,-57,-86,-88,-62,7
-88,-70,-59,-83,-78,-96,7
-84,-77,-56,-83,-80,-66,7
-84,-77,-60,-82,-81,-66,7
-82,-70,-56,-84,-85,-66,7
-83,-77,-60,-84,-76,-100,7
-96,-67,-61,-84,-75,-68,7
-95,-74,-58,-83,-79,-68,7
-90,-67,-62,-84,-81,-68,7
-89,-75,-59,-83,-78,-66,7
-89,-67,-62,-82,-73,-65,7
-96,-67,-59,-91,-73,-66,7
-93,-76,-62,-85,-78,-67,7
-94,-69,-60,-87,-78,-68,7
-89,-78,-57,-94,-79,-68,7
-89,-71,-60,-78,-79,-98,7
-88,-77,-57,-80,-86,-62,7
-89,-71,-60,-81,-85,-97,7
-82,-77,-57,-83,-72,-63,7
-80,-70,-57,-85,-74,-96,7
-79,-77,-68,-79,-80,-97,7
-82,-70,-65,-92,-80,-67,7
-89,-82,-69,-84,-85,-67,7
-82,-74,-64,-82,-80,-100,7
-78,-81,-68,-83,-80,-98,7
-78,-74,-64,-90,-78,-62,7
-86,-82,-68,-88,-77,-63,7
-87,-74,-65,-79,-78,-98,7
-84,-82,-61,-83,-90,-96,7
-91,-74,-58,-85,-76,-63,7
-92,-75,-62,-84,-76,-97,7
-85,-68,-59,-81,-82,-68,7
-86,-76,-62,-82,-85,-68,7
-83,-68,-59,-87,-87,-69,7
-96,-75,-62,-85,-76,-68,7
-98,-68,-63,-84,-78,-67,7
-90,-75,-64,-84,-74,-98,7
-94,-69,-67,-84,-83,-64,7
-92,-84,-62,-86,-84,-63,7
-94,-76,-65,-89,-77,-98,7
-90,-83,-62,-85,-84,-97,7
-86,-77,-64,-84,-83,-63,7
-86,-84,-64,-85,-80,-98,7
-87,-75,-57,-88,-80,-69,7
-87,-82,-61,-78,-82,-68,7
-89,-77,-59,-81,-84,-68,7
-90,-78,-62,-82,-80,-69,7
-87,-69,-62,-96,-80,-97,7
-87,-76,-60,-86,-74,-64,7
-87,-70,-62,-80,-76,-97,7
-86,-76,-56,-80,-80,-64,7
-89,-68,-60,-83,-77,-97,7
-86,-75,-56,-88,-76,-64,7
-85,-68,-59,-86,-78,-69,7
-86,-75,-57,-87,-82,-69,7
-95,-70,-60,-87,-83,-69,7
-89,-76,-57,-86,-77,-69,7
-86,-69,-60,-82,-77,-70,7
-90,-76,-67,-87,-78,-70,7
-85,-69,-66,-84,-79,-70,7
-85,-76,-66,-86,-79,-70,7
-85,-77,-69,-88,-83,-71,7
-88,-85,-65,-86,-78,-69,7
-88,-77,-68,-86,-81,-70,7
-92,-84,-65,-80,-82,-63,7
-89,-76,-67,-85,-83,-61,7
-90,-83,-65,-84,-78,-97,7
-87,-70,-60,-95,-76,-63,7
-87,-78,-57,-83,-77,-70,7
